,test,fname,workload,bpk,Z,ZD,N,fpr_monkey,fpr_binarysearch,fpr_scan,t_monkey,t_binarysearch,t_scan,zeroes
35,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.5,0,1,0.0586884,0.0586884,0.0586884,0.0878458,8.05443e-05,7.01516e-05,0.0
36,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.5,0,1,0.0362989,0.0362989,0.0362989,0.102367,8.5512e-05,7.48887e-05,0.0
37,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.5,0,1,0.022451,0.022451,0.022451,0.1033,8.14836e-05,7.08754e-05,0.0
38,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.5,0,1,0.013886,0.013886,0.013886,0.10422100000000001,8.13193e-05,7.021970000000001e-05,0.0
39,test1,Z0.5_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.5,0,1,0.00858853,0.00858853,0.00858853,0.10386600000000001,8.40774e-05,7.07892e-05,0.0
40,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.5,3,1,0.405606,0.405606,0.405606,0.0800114,9.360719999999999e-05,9.680049999999999e-05,16.0
41,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.5,3,1,0.249516,0.249516,0.249516,0.0848942,8.46274e-05,7.274090000000001e-05,0.0
42,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.5,3,1,0.154326,0.154326,0.154326,0.087654,8.275659999999999e-05,7.05929e-05,0.0
43,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.5,3,1,0.0954512,0.0954512,0.0954512,0.09046339999999999,8.231940000000001e-05,7.094e-05,0.0
44,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.5,3,1,0.05903680000000001,0.05903680000000001,0.05903680000000001,0.09808789999999999,8.09294e-05,6.99135e-05,0.0
45,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.5,3,1,0.0365145,0.0365144,0.0365145,0.107171,8.75101e-05,7.53355e-05,0.0
46,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.5,3,1,0.022584299999999998,0.022584299999999998,0.022584299999999998,0.100469,8.81823e-05,7.20437e-05,0.0
47,test1,Z0.5_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.5,3,1,0.0139684,0.0139684,0.0139684,0.102415,8.35405e-05,7.09703e-05,0.0
48,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.75,0,1,0.451057,0.451057,0.451057,0.08327360000000002,8.24832e-05,7.15886e-05,0.0
49,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.75,0,1,0.27898,0.27898,0.27898,0.0838701,8.751559999999999e-05,7.45799e-05,0.0
50,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.75,0,1,0.17255,0.17255,0.17255,0.0920275,8.05594e-05,7.11815e-05,0.0
51,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.75,0,1,0.106723,0.106723,0.106723,0.0919604,8.12194e-05,6.880760000000001e-05,0.0
52,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.75,0,1,0.0660082,0.0660082,0.0660082,0.09155160000000001,8.24806e-05,7.21896e-05,0.0
53,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.75,0,1,0.0408263,0.0408263,0.0408263,0.09760980000000001,8.19683e-05,7.04447e-05,0.0
54,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.75,0,1,0.0252512,0.0252512,0.0252512,0.09009980000000001,8.329879999999999e-05,6.81833e-05,0.0
55,test1,Z0.75_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.75,0,1,0.0156179,0.0156179,0.0156179,0.09462330000000001,8.33348e-05,7.02571e-05,0.0
56,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,0.75,3,1,0.413771,0.413771,0.413771,0.0639467,8.49975e-05,9.36798e-05,19.0
57,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,0.75,3,1,0.25516300000000003,0.25516300000000003,0.25516300000000003,0.0904434,8.53793e-05,7.28981e-05,1.0
58,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,0.75,3,1,0.157817,0.157817,0.157817,0.080316,8.12567e-05,7.00753e-05,0.0
59,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,4,0.75,3,1,0.0976105,0.0976105,0.0976105,0.089642,8.98791e-05,7.612600000000001e-05,0.0
60,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,5,0.75,3,1,0.060372300000000004,0.060372300000000004,0.060372300000000004,0.0879653,8.196459999999999e-05,6.96884e-05,0.0
61,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,6,0.75,3,1,0.0373405,0.0373405,0.0373405,0.0891487,8.14203e-05,6.91523e-05,0.0
62,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,7,0.75,3,1,0.0230952,0.0230952,0.0230952,0.0889608,8.41124e-05,7.24456e-05,0.0
63,test1,Z0.75_ZD3_query_stats.txt,N1M_bpk6_E128_ED_Q4M,8,0.75,3,1,0.0142844,0.0142844,0.0142844,0.0823171,7.91999e-05,7.10404e-05,0.0
64,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,1,1.0,0,1,0.47529399999999994,0.47529399999999994,0.47529399999999994,0.0732665,7.918520000000001e-05,7.04296e-05,0.0
65,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,2,1.0,0,1,0.293971,0.293971,0.293971,0.076433,7.65619e-05,6.59139e-05,0.0
66,test1,Z1.0_ZD0_query_stats.txt,N1M_bpk6_E128_ED_Q4M,3,1.0,0,1,0.181822,0.181822,0.181822,0.08374839999999999,7.87877e-05,6.66929e-05,0.0
